Sequence number	Sequence name	Sequence	Python code	Obfuscated Python code
A000006	Integer part of square root of n-th prime.	1,1,2,2,3,3,4,4,4,5,5,6,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18	"
from sympy import sieve
A000006 = lambda n: int(sieve[n]**.5)
print([A000006(n) for n in range(1,100+1)])

"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"
A000142	Factorial numbers: n! = 1*2*3*4*...*n (order of symmetric group S_n, number of permutations of n letters).	1,1,2,6,24,120,720,5040,40320,362880,3628800,39916800,479001600,6227020800,87178291200,1307674368000,20922789888000,355687428096000,6402373705728000,121645100408832000,2432902008176640000,51090942171709440000,1124000727777607680000	"
import math
for i in range(1, 1000):
    math.factorial(i)
    print("""")

"	"import math
for i in range(1, 1000):
    math.factorial(i)
    print('')"	"import math
sequence_iterator = iter(range(1, 1000))
while True:
    try:
        i = next(sequence_iterator)
        math.factorial(i)
        print('')
    except StopIteration:
        break"	"import math
sequence_iterator = iter(range(1, 1000))
while True:
    try:
        i = next(sequence_iterator)
        math.factorial(i)
        print('')
    except StopIteration:
        break"	"import math
sequence_iterator = iter(range(1, 1000))
while True:
    try:
        i = next(sequence_iterator)
        math.factorial(i)
        print('')
    except StopIteration:
        break"	"import math
sequence_iterator = iter(range(1, 1000))
while True:
    try:
        i = next(sequence_iterator)
        math.factorial(i)
        print('')
    except StopIteration:
        break"
A000203	a(n) = sigma(n), the sum of the divisors of n. Also called sigma_1(n).	1,3,4,7,6,12,8,15,13,18,12,28,14,24,24,31,18,39,20,42,32,36,24,60,31,42,40,56,30,72,32,63,48,54,48,91,38,60,56,90,42,96,44,84,78,72,48,124,57,93,72,98,54,120,72,120,80,90,60,168,62,96,104,127,84,144,68,126,96,144	"
from sympy import divisor_sigma
def a(n): return divisor_sigma(n, 1)
print([a(n) for n in range(1, 71)]) 
"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 1)
print([a(n) for n in range(1, 71)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 1)
print([a(n) for n in range(1, 71)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 1)
print([a(n) for n in range(1, 71)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 1)
print([a(n) for n in range(1, 71)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 1)
print([a(n) for n in range(1, 71)])"
A000213	Tribonacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) with a(0)=a(1)=a(2)=1.	1,1,1,3,5,9,17,31,57,105,193,355,653,1201,2209,4063,7473,13745,25281,46499,85525,157305,289329,532159,978793,1800281,3311233,6090307,11201821,20603361,37895489,69700671,128199521,235795681,433695873,797691075,1467182629	"
alst = [1, 1, 1]
[alst.append(alst[n-1] + alst[n-2] + alst[n-3]) for n in range(3, 37)]
print(alst) 
"	"alst = [1, 1, 1]
[alst.append(alst[n - 1] + alst[n - 2] + alst[n - 3]) for n in range(3, 37)]
print(alst)"	"alst = [1, 1, 1]
[alst.append(alst[n - 1] + alst[n - 2] + alst[n - 3]) for n in range(3, 37)]
print(alst)"	"alst = [1, 1, 1]
[alst.append(alst[n - 1] + alst[n - 2] + alst[n - 3]) for n in range(3, 37)]
print(alst)"	"alst = [1, 1, 1]
[alst.append(alst[n - 1] + alst[n - 2] + alst[n - 3]) for n in range(3, 37)]
print(alst)"	"alst = [1, 1, 1]
list((alst.append(alst[n - 1] + alst[n - 2] + alst[n - 3]) for n in range(3, 37)))
print(alst)"
A000265	Remove all factors of 2 from n; or largest odd divisor of n; or odd part of n.	1,1,3,1,5,3,7,1,9,5,11,3,13,7,15,1,17,9,19,5,21,11,23,3,25,13,27,7,29,15,31,1,33,17,35,9,37,19,39,5,41,21,43,11,45,23,47,3,49,25,51,13,53,27,55,7,57,29,59,15,61,31,63,1,65,33,67,17,69,35,71,9,73,37,75,19,77	" 
from sympy import divisors
def a(n):
    return max(i for i in divisors(n) if i % 2)
[a(n) for n in range(1, 101)]
"	"from sympy import divisors

def a(n):
    return max((i for i in divisors(n) if i % 2))
[a(n) for n in range(1, 101)]"	"from sympy import divisors

def a(n):
    return max((i for i in divisors(n) if i % 2))
[a(n) for n in range(1, 101)]"	"from sympy import divisors

def a(n):
    return max((i for i in divisors(n) if i % 2))
[a(n) for n in range(1, 101)]"	"from sympy import divisors

def a(n):
    return max((i for i in divisors(n) if i % 2))
[a(n) for n in range(1, 101)]"	"from sympy import divisors

def a(n):
    return max((i for i in divisors(n) if i % 2))
list((a(n) for n in range(1, 101)))"
A000265	Remove all factors of 2 from n; or largest odd divisor of n; or odd part of n.	1,1,3,1,5,3,7,1,9,5,11,3,13,7,15,1,17,9,19,5,21,11,23,3,25,13,27,7,29,15,31,1,33,17,35,9,37,19,39,5,41,21,43,11,45,23,47,3,49,25,51,13,53,27,55,7,57,29,59,15,61,31,63,1,65,33,67,17,69,35,71,9,73,37,75,19,77	"
from __future__ import division
def A000265(n):
    while not n % 2:
        n //= 2
    return n 
"	"from __future__ import division

def A000265(n):
    while not n % 2:
        n //= 2
    return n"	"from __future__ import division

def A000265(n):
    while not n % 2:
        n //= 2
    return n"	"from __future__ import division

def A000265(n):
    while not n % 2:
        n //= 2
    return n"	"from __future__ import division

def A000265(n):
    while not n % 2:
        n //= 2
    return n"	"from __future__ import division

def A000265(n):
    while not n % 2:
        n //= 2
    return n"
A000302	Powers of 4: a(n) = 4^n.	1,4,16,64,256,1024,4096,16384,65536,262144,1048576,4194304,16777216,67108864,268435456,1073741824,4294967296,17179869184,68719476736,274877906944,1099511627776,4398046511104,17592186044416,70368744177664,281474976710656	" print([4**n for n in range(25)]) 
"	print([4 ** n for n in range(25)])	print([4 ** n for n in range(25)])	print([4 ** n for n in range(25)])	print([4 ** n for n in range(25)])	print([4 ** n for n in range(25)])
A000378	Sums of three squares: numbers of the form x^2 + y^2 + z^2.	0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,17,18,19,20,21,22,24,25,26,27,29,30,32,33,34,35,36,37,38,40,41,42,43,44,45,46,48,49,50,51,52,53,54,56,57,58,59,61,62,64,65,66,67,68,69,70,72,73,74,75,76,77,78,80,81,82,83	"
def valuation(n, b):
    v = 0
    while n > 1 and n%b == 0: n //= b; v += 1
    return v
def ok(n): return n//4**valuation(n, 4)%8 != 7
print(list(filter(ok, range(84)))) 
"	"def valuation(n, b):
    v = 0
    while n > 1 and n % b == 0:
        n //= b
        v += 1
    return v

def ok(n):
    return n // 4 ** valuation(n, 4) % 8 != 7
print(list([list_element for list_element in range(84) if ok(list_element)]))"	"def valuation(n, b):
    v = 0
    while n > 1 and n % b == 0:
        n //= b
        v += 1
    return v

def ok(n):
    return n // 4 ** valuation(n, 4) % 8 != 7
print(list([list_element for list_element in range(84) if ok(list_element)]))"	"def valuation(n, b):
    v = 0
    while n > 1 and n % b == 0:
        n //= b
        v += 1
    return v

def ok(n):
    return n // 4 ** valuation(n, 4) % 8 != 7
print(list([list_element for list_element in range(84) if ok(list_element)]))"	"def valuation(n, b):
    v = 0
    while n > 1 and n % b == 0:
        n //= b
        v += 1
    return v

def ok(n):
    return n // 4 ** valuation(n, 4) % 8 != 7
print(list([list_element for list_element in range(84) if ok(list_element)]))"	"def valuation(n, b):
    v = 0
    while n > 1 and n % b == 0:
        n //= b
        v += 1
    return v

def ok(n):
    return n // 4 ** valuation(n, 4) % 8 != 7
print(list([list_element for list_element in range(84) if ok(list_element)]))"
A000408	Numbers that are the sum of three nonzero squares.	3,6,9,11,12,14,17,18,19,21,22,24,26,27,29,30,33,34,35,36,38,41,42,43,44,45,46,48,49,50,51,53,54,56,57,59,61,62,65,66,67,68,69,70,72,73,74,75,76,77,78,81,82,83,84,86,88,89,90,91,93,94,96,97,98,99,101,102,104	"
def aupto(lim):
  squares = [k*k for k in range(1, int(lim**.5)+2) if k*k <= lim]
  sum2sqs = set(a+b for i, a in enumerate(squares) for b in squares[i:])
  sum3sqs = set(a+b for a in sum2sqs for b in squares)
  return sorted(set(range(lim+1)) & sum3sqs)
print(aupto(104)) 
"	"def aupto(lim):
    squares = [k * k for k in range(1, int(lim ** 0.5) + 2) if k * k <= lim]
    sum2sqs = set((a + b for (i, a) in enumerate(squares) for b in squares[i:]))
    sum3sqs = set((a + b for a in sum2sqs for b in squares))
    return sorted(set(range(lim + 1)) & sum3sqs)
print(aupto(104))"	"def aupto(lim):
    squares = [k * k for k in range(1, int(lim ** 0.5) + 2) if k * k <= lim]
    sum2sqs = set((a + b for (i, a) in enumerate(squares) for b in squares[i:]))
    sum3sqs = set((a + b for a in sum2sqs for b in squares))
    return sorted(set(range(lim + 1)) & sum3sqs)
print(aupto(104))"	"def aupto(lim):
    squares = [k * k for k in range(1, int(lim ** 0.5) + 2) if k * k <= lim]
    sum2sqs = set((a + b for (i, a) in enumerate(squares) for b in squares[i:]))
    sum3sqs = set((a + b for a in sum2sqs for b in squares))
    return sorted(set(range(lim + 1)) & sum3sqs)
print(aupto(104))"	"def aupto(lim):
    squares = {*()}
    for k in range(1, int(lim ** 0.5) + 2):
        if k * k <= lim:squares.append(k * k)
    sum2sqs = set((a + b for (i, a) in enumerate(squares) for b in squares[i:]))
    sum3sqs = set((a + b for a in sum2sqs for b in squares))
    return sorted(set(range(lim + 1)) & sum3sqs)
print(aupto(104))"	"def aupto(lim):
    squares = {*()}
    for k in range(1, int(lim ** 0.5) + 2):
        if k * k <= lim:squares.append(k * k)
    sum2sqs = {a + b for (i, a) in enumerate(squares) for b in squares[i:]}
    sum3sqs = {a + b for a in sum2sqs for b in squares}
    return sorted(set(range(lim + 1)) & sum3sqs)
print(aupto(104))"
A000414	Numbers that are the sum of 4 nonzero squares.	4,7,10,12,13,15,16,18,19,20,21,22,23,25,26,27,28,30,31,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81	"
limit = 10026 
from functools import lru_cache
nzs = [k*k for k in range(1, int(limit**.5)+2) if k*k + 3 <= limit]
nzss = set(nzs)
@lru_cache(maxsize=None)
def ok(n, m): return n in nzss if m == 1 else any(ok(n-s, m-1) for s in nzs)
print([n for n in range(4, limit+1) if ok(n, 4)]) 
"	"limit = 10026
from functools import lru_cache
nzs = [k * k for k in range(1, int(limit ** 0.5) + 2) if k * k + 3 <= limit]
nzss = set(nzs)

@lru_cache(maxsize=None)
def ok(n, m):
    return n in nzss if m == 1 else any((ok(n - s, m - 1) for s in nzs))
print([n for n in range(4, limit + 1) if ok(n, 4)])"	"limit = 10026
from functools import lru_cache
nzs = [k * k for k in range(1, int(limit ** 0.5) + 2) if k * k + 3 <= limit]
nzss = set(nzs)

@lru_cache(maxsize=None)
def ok(n, m):
    return n in nzss if m == 1 else any((ok(n - s, m - 1) for s in nzs))
print([n for n in range(4, limit + 1) if ok(n, 4)])"	"limit = 10026
from functools import lru_cache
nzs = [k * k for k in range(1, int(limit ** 0.5) + 2) if k * k + 3 <= limit]
nzss = set(nzs)

@lru_cache(maxsize=None)
def ok(n, m):
    return n in nzss if m == 1 else any((ok(n - s, m - 1) for s in nzs))
print([n for n in range(4, limit + 1) if ok(n, 4)])"	"limit = 10026
from functools import lru_cache
nzs = {*()}
for k in range(1, int(limit ** 0.5) + 2):
    if k * k + 3 <= limit:nzs.append(k * k)
nzss = set(nzs)

@lru_cache(maxsize=None)
def ok(n, m):
    return n in nzss if m == 1 else any((ok(n - s, m - 1) for s in nzs))
print([n for n in range(4, limit + 1) if ok(n, 4)])"	"limit = 10026
from functools import lru_cache
nzs = {*()}
for k in range(1, int(limit ** 0.5) + 2):
    if k * k + 3 <= limit:nzs.append(k * k)
nzss = set(nzs)

@lru_cache(maxsize=None)
def ok(n, m):
    return n in nzss if m == 1 else any((ok(n - s, m - 1) for s in nzs))
print([n for n in range(4, limit + 1) if ok(n, 4)])"
A000419	Numbers that are the sum of 3 but no fewer nonzero squares.	3,6,11,12,14,19,21,22,24,27,30,33,35,38,42,43,44,46,48,51,54,56,57,59,62,66,67,69,70,75,76,77,78,83,84,86,88,91,93,94,96,99,102,105,107,108,110,114,115,118,120,123,126,129,131,132,133,134,138,139,140,141,142	"
def aupto(lim):
  squares = [k*k for k in range(1, int(lim**.5)+2) if k*k <= lim]
  sum2sqs = set(a+b for i, a in enumerate(squares) for b in squares[i:])
  sum3sqs = set(a+b for a in sum2sqs for b in squares)
  return sorted(set(range(lim+1)) & (sum3sqs - sum2sqs - set(squares)))
print(aupto(142)) 
"	"def aupto(lim):
    squares = [k * k for k in range(1, int(lim ** 0.5) + 2) if k * k <= lim]
    sum2sqs = set((a + b for (i, a) in enumerate(squares) for b in squares[i:]))
    sum3sqs = set((a + b for a in sum2sqs for b in squares))
    return sorted(set(range(lim + 1)) & sum3sqs - sum2sqs - set(squares))
print(aupto(142))"	"def aupto(lim):
    squares = [k * k for k in range(1, int(lim ** 0.5) + 2) if k * k <= lim]
    sum2sqs = set((a + b for (i, a) in enumerate(squares) for b in squares[i:]))
    sum3sqs = set((a + b for a in sum2sqs for b in squares))
    return sorted(set(range(lim + 1)) & sum3sqs - sum2sqs - set(squares))
print(aupto(142))"	"def aupto(lim):
    squares = [k * k for k in range(1, int(lim ** 0.5) + 2) if k * k <= lim]
    sum2sqs = set((a + b for (i, a) in enumerate(squares) for b in squares[i:]))
    sum3sqs = set((a + b for a in sum2sqs for b in squares))
    return sorted(set(range(lim + 1)) & sum3sqs - sum2sqs - set(squares))
print(aupto(142))"	"def aupto(lim):
    squares = {*()}
    for k in range(1, int(lim ** 0.5) + 2):
        if k * k <= lim:squares.append(k * k)
    sum2sqs = set((a + b for (i, a) in enumerate(squares) for b in squares[i:]))
    sum3sqs = set((a + b for a in sum2sqs for b in squares))
    return sorted(set(range(lim + 1)) & sum3sqs - sum2sqs - set(squares))
print(aupto(142))"	"def aupto(lim):
    squares = {*()}
    for k in range(1, int(lim ** 0.5) + 2):
        if k * k <= lim:squares.append(k * k)
    sum2sqs = {a + b for (i, a) in enumerate(squares) for b in squares[i:]}
    sum3sqs = {a + b for a in sum2sqs for b in squares}
    return sorted(set(range(lim + 1)) & sum3sqs - sum2sqs - set(squares))
print(aupto(142))"
A000468	Powers of ten written in base 8.	1,12,144,1750,23420,303240,3641100,46113200,575360400,7346545000,112402762000,1351035564000,16432451210000,221411634520000,2657142036440000,34327724461500000,434157115760200000,5432127413542400000,67405553164731000000,1053071060221172000000	"
def a(n): return int(oct(10**n)[2:])
print([a(n) for n in range(20)]) 
"	"def a(n):
    return int(oct(10 ** n)[2:])
print([a(n) for n in range(20)])"	"def a(n):
    return int(oct(10 ** n)[2:])
print([a(n) for n in range(20)])"	"def a(n):
    return int(oct(10 ** n)[2:])
print([a(n) for n in range(20)])"	"def a(n):
    return int(oct(10 ** n)[2:])
print([a(n) for n in range(20)])"	"def a(n):
    return int(oct(10 ** n)[2:])
print([a(n) for n in range(20)])"
A000538	Sum of fourth powers: 0^4 + 1^4 + ... + n^4.	0,1,17,98,354,979,2275,4676,8772,15333,25333,39974,60710,89271,127687,178312,243848,327369,432345,562666,722666,917147,1151403,1431244,1763020,2153645,2610621,3142062,3756718,4463999,5273999,6197520,7246096,8432017,9768353	"
A000538_list, m = [0], [24, -36, 14, -1, 0, 0]
for _ in range(10**2):
    for i in range(5):
        m[i+1] += m[i]
    A000538_list.append(m[-1]) 
"	"(A000538_list, m) = ([0], [24, -36, 14, -1, 0, 0])
for _ in range(10 ** 2):
    for i in range(5):
        m[i + 1] += m[i]
    A000538_list.append(m[-1])"	"(A000538_list, m) = ([0], [24, -36, 14, -1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(5))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000538_list.append(m[-1])
    except StopIteration:
        break"	"(A000538_list, m) = ([0], [24, -36, 14, -1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(5))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000538_list.append(m[-1])
    except StopIteration:
        break"	"(A000538_list, m) = ([0], [24, -36, 14, -1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(5))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000538_list.append(m[-1])
    except StopIteration:
        break"	"(A000538_list, m) = ([0], [24, -36, 14, -1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(5))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000538_list.append(m[-1])
    except StopIteration:
        break"
A000539	Sum of 5th powers: 0^5 + 1^5 + 2^5 + ... + n^5.	0,1,33,276,1300,4425,12201,29008,61776,120825,220825,381876,630708,1002001,1539825,2299200,3347776,4767633,6657201,9133300,12333300,16417401,21571033,28007376,35970000,45735625,57617001,71965908,89176276,109687425,133987425	"
A000539_list, m = [0], [120, -240, 150, -30, 1, 0, 0]
for _ in range(10**2):
    for i in range(6):
        m[i+1] += m[i]
    A000539_list.append(m[-1]) 
"	"(A000539_list, m) = ([0], [120, -240, 150, -30, 1, 0, 0])
for _ in range(10 ** 2):
    for i in range(6):
        m[i + 1] += m[i]
    A000539_list.append(m[-1])"	"(A000539_list, m) = ([0], [120, -240, 150, -30, 1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(6))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000539_list.append(m[-1])
    except StopIteration:
        break"	"(A000539_list, m) = ([0], [120, -240, 150, -30, 1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(6))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000539_list.append(m[-1])
    except StopIteration:
        break"	"(A000539_list, m) = ([0], [120, -240, 150, -30, 1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(6))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000539_list.append(m[-1])
    except StopIteration:
        break"	"(A000539_list, m) = ([0], [120, -240, 150, -30, 1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(6))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000539_list.append(m[-1])
    except StopIteration:
        break"
A000540	Sum of 6th powers: 0^6 + 1^6 + 2^6 + ... + n^6.	0,1,65,794,4890,20515,67171,184820,446964,978405,1978405,3749966,6735950,11562759,19092295,30482920,47260136,71397705,105409929,152455810,216455810,302221931,415601835,563637724,754740700,998881325,1307797101,1695217590	"
A000540_list, m = [0], [720, -1800, 1560, -540, 62, -1, 0, 0]
for _ in range(10**2):
    for i in range(7):
        m[i+1] += m[i]
    A000540_list.append(m[-1]) 
"	"(A000540_list, m) = ([0], [720, -1800, 1560, -540, 62, -1, 0, 0])
for _ in range(10 ** 2):
    for i in range(7):
        m[i + 1] += m[i]
    A000540_list.append(m[-1])"	"(A000540_list, m) = ([0], [720, -1800, 1560, -540, 62, -1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(7))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000540_list.append(m[-1])
    except StopIteration:
        break"	"(A000540_list, m) = ([0], [720, -1800, 1560, -540, 62, -1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(7))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000540_list.append(m[-1])
    except StopIteration:
        break"	"(A000540_list, m) = ([0], [720, -1800, 1560, -540, 62, -1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(7))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000540_list.append(m[-1])
    except StopIteration:
        break"	"(A000540_list, m) = ([0], [720, -1800, 1560, -540, 62, -1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(7))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000540_list.append(m[-1])
    except StopIteration:
        break"
A000541	Sum of 7th powers: 1^7 + 2^7 + ... + n^7.	0,1,129,2316,18700,96825,376761,1200304,3297456,8080425,18080425,37567596,73399404,136147921,241561425,412420800,680856256,1091194929,1703414961,2597286700,3877286700,5678375241,8172733129,11577558576,16164030000,22267545625	"
A000541_list, m = [0], [5040, -15120, 16800, -8400, 1806, -126, 1, 0, 0]
for _ in range(10**2):
    for i in range(8):
        m[i+1] += m[i]
    A000541_list.append(m[-1]) 
"	"(A000541_list, m) = ([0], [5040, -15120, 16800, -8400, 1806, -126, 1, 0, 0])
for _ in range(10 ** 2):
    for i in range(8):
        m[i + 1] += m[i]
    A000541_list.append(m[-1])"	"(A000541_list, m) = ([0], [5040, -15120, 16800, -8400, 1806, -126, 1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(8))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000541_list.append(m[-1])
    except StopIteration:
        break"	"(A000541_list, m) = ([0], [5040, -15120, 16800, -8400, 1806, -126, 1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(8))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000541_list.append(m[-1])
    except StopIteration:
        break"	"(A000541_list, m) = ([0], [5040, -15120, 16800, -8400, 1806, -126, 1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(8))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000541_list.append(m[-1])
    except StopIteration:
        break"	"(A000541_list, m) = ([0], [5040, -15120, 16800, -8400, 1806, -126, 1, 0, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(8))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000541_list.append(m[-1])
    except StopIteration:
        break"
A000542	Sum of 8th powers: 1^8 + 2^8 + ... + n^8.	0,1,257,6818,72354,462979,2142595,7907396,24684612,67731333,167731333,382090214,812071910,1627802631,3103591687,5666482312,9961449608,16937207049,27957167625,44940730666,70540730666,108363590027,163239463563,241550448844	"
A000542_list, m = [0], [40320, -141120, 191520, -126000, 40824, -5796, 254, -1, 0, 0]
for _ in range(24):
    for i in range(9):
        m[i+1] += m[i]
    A000542_list.append(m[-1])
print(A000542_list) 
"	"(A000542_list, m) = ([0], [40320, -141120, 191520, -126000, 40824, -5796, 254, -1, 0, 0])
for _ in range(24):
    for i in range(9):
        m[i + 1] += m[i]
    A000542_list.append(m[-1])
print(A000542_list)"	"(A000542_list, m) = ([0], [40320, -141120, 191520, -126000, 40824, -5796, 254, -1, 0, 0])
sequence_iterator = iter(range(24))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(9))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000542_list.append(m[-1])
    except StopIteration:
        break
print(A000542_list)"	"(A000542_list, m) = ([0], [40320, -141120, 191520, -126000, 40824, -5796, 254, -1, 0, 0])
sequence_iterator = iter(range(24))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(9))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000542_list.append(m[-1])
    except StopIteration:
        break
print(A000542_list)"	"(A000542_list, m) = ([0], [40320, -141120, 191520, -126000, 40824, -5796, 254, -1, 0, 0])
sequence_iterator = iter(range(24))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(9))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000542_list.append(m[-1])
    except StopIteration:
        break
print(A000542_list)"	"(A000542_list, m) = ([0], [40320, -141120, 191520, -126000, 40824, -5796, 254, -1, 0, 0])
sequence_iterator = iter(range(24))
while True:
    try:
        _ = next(sequence_iterator)
        sequence_iterator = iter(range(9))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
        A000542_list.append(m[-1])
    except StopIteration:
        break
print(A000542_list)"
